Cut,Runners,Outs,Situation,Reminder,Pitcher,Catcher,1. Baseman,2. Baseman,3. Baseman,Shortstop,Leftfield,Centerfield,Rightfield
,Kein Runner,"0 Out, 1 Out, 2 Out",Single  Leftfield,"Auch bei Runner auf 3B – Run scored auf jeden Fall
",Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Am 2B den Relay einweisen und Wurf annehmen (ggf. Tag Play),3B absichern,Relay Position einnehmen,Ball aufnehmen und zum Relay / 2B werfen,Leftfielder abdecken,Wurf ans 2B abdecken
,Kein Runner,"0 Out, 1 Out, 2 Out",Single  Centerfield,"Auch bei Runner auf 3B – Run scored auf jeden Fall
",Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Am 2B den Relay einweisen und Wurf annehmen (ggf. Tag Play),3B absichern,Relay Position einnehmen,Centerfielder abdecken,Ball aufnehmen und zum Relay / 2B werfen,Centerfielder abdecken
,Kein Runner,"0 Out, 1 Out, 2 Out",Single  Rightfield,"Auch bei Runner auf 3B – Run scored auf jeden Fall
",Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Relay Position einnehmen,3B absichern,Am 2B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Wurf ans 2B abdecken,Rightfielder abdecken,Ball aufnehmen und zum Relay / 2B werfen
Cut 2B,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Single  Leftfield,"Auch bei Runner 3B & 1B
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B” Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Ball aufnehmen und zum Relay / 3B werfen,Leftfielder abdecken,Möglichen Wurf von 3B oder Cut off ans 2B abdecken
Cut 2,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Single  Centerfield,"Auch bei Runner 3B & 1B
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B” Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Centerfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen,Centerfielder abdecken
Cut 2,Runner auf 1B,"0 Out, 1 Out, 2 Outs",Single  Rightfield,"Auch bei Runner 3B & 1B
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B“ Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Wurf an 3B abdecken,Rightfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen
Cut 2B,Runner auf 2B,"0 Out, 1 Out, 2 Outs",Single  Leftfield,"Auch bei Runner auf 3B & 2B; bei zusätzlichem Runner auf 1B auch „Cut 3B“ möglich
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B“ Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Leftfielder abdecken,Möglichen Wurf von Home oder Relay an 2B abdecken
Cut 2B,Runner auf 2B,"0 Out, 1 Out, 2 Outs",Single  Centerfield,"Auch bei Runner auf 3B & 2B; bei zusätzlichem Runner auf 1B auch „Cut 3B“ möglich
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Centerfielder abdecken,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
Cut 2B,Runner auf 2B,"0 Out, 1 Out, 2 Outs",Single  Rightfield,"Auch bei Runner auf 3B & 2B; bei zusätzlichem Runner auf 1B auch „Cut 3B“ möglich
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),1B absichern,3B absichern,2B absichern (ggf. “Cut 2B“ Tag Play),Möglichen Wurf von Home / Relay an 2B abdecken; falls Rundown zw. 3B-Home = 3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Centerfielder abdecken
,Runner auf 1B,"0 Out, 1 Out",Flyout Leftfield,,Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Am 2B den Relay einweisen und Wurf annehmen,3B absichern,Relay Position einnehmen,Ball aufnehmen und zum Relay / 2B werfen,Leftfielder abdecken,Wurf ans 2B abdecken
,Runner 1B,"0 Out, 1 Out",Flyout Centerfield,,Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Am 2B den Relay einweisen und Wurf annehmen,3B absichern,Relay Position einnehmen,Centerfielder abdecken,Ball aufnehmen und zum Relay / 2B werfen,Centerfielder abdecken
,Runner auf 1B,"0 Out, 1 Out",Flyout Rightfield,,Wurf ans 2B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",Relay Position einnehmen,3B absichern,Am 2B den Relay einweisen und Wurf annehmen,Wurf ans 2B abdecken,Rightfielder abdecken,Ball aufnehmen und zum Relay / 2B werfen
,Runner auf 2B,"0 Out, 1 Out",Flyout Leftfield,"Auch bei Runner auf 2B & 1B; ggf. „Cut 2“ möglich
OF kommuniziert über Aktion des Runners – Tag Up wahrscheinlich bei Deep Flyball
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B” Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Ball aufnehmen und zum Relay / 3B werfen,Leftfielder abdecken,Möglichen Wurf von 3B oder Cut off ans 2B abdecken
,Runner auf 2B,"0 Out, 1 Out",Flyout Centerfield,"Auch bei Runner auf 2B & 1B; ggf. „Cut 2“ möglich
OF kommuniziert über Aktion des Runners - Tag up wahrscheinlich
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern,Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Centerfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen,Centerfielder abdecken
,Runner auf 2B,"0 Out, 1 Out",Flyout Rightfield,"Auch bei Runner auf 2B & 1B; ggf. „Cut 2“ möglich
OF kommuniziert über Aktion des Runners - Tag up wahrscheinlich
",Wurf ans 3B abdecken,Homeplate sichern und Spielzug akustisch steuern,"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern (ggf. “Cut 2B“ Tag Play),Am 3B den Relay einweisen und Wurf annehmen (ggf. Tag Play),Relay Position einnehmen (ggf. “Cut 2B”),Wurf an 3B abdecken,Rightfielder abdecken,Ball aufnehmen und zum Relay / 3B werfen
,Runner auf 3B,"0 Out, 1 Out",Flyout Leftfield,"Auch bei Runner auf 3B & 2B oder 3B & 2B & 1B; ggf. „Cut 3“ und „Cut 2B“ möglich
Tag Up durch Runner 3B & 2B! Runner 1B reguläres Baseruning
",Wurf an Homeplate abdecken,Spielzug akustisch steuern; Relay einweisen und Wurf annehmen (ggf. Tag Play),"Darauf achten, dass Läufer das Base berührt und 1B absichern",2B absichern,Relay Position einnehmen,3B absichern,Ball aufnehmen und zum Relay / Homeplate werfen,Leftfielder abdecken,Möglichen Wurf von Home oder Relay an 2B abdecken
